Group reward_table
{
	1	70314	1	49990	1	70319	1
	5	70314	1	49990	2	70319	1
	10	70314	1	49991	1	70319	1
	15	70314	1	49991	2	70319	1
	20	70314	1	49991	3	70319	1
	25	70314	1	49991	4	49001	1
	30	70314	1	49991	5	70319	1
	35	70314	1	49991	5	70319	1
	40	70314	1	49991	5	72734	1
	45	70314	1	49991	5	70319	1
	50	70314	1	49991	5	27994	1
	55	70314	1	49992	2	51501	1
	60	70314	1	49992	2	71084	1
	65	70314	1	49992	2	71084	1
	70	70314	1	49992	2	76039	1
	75	70314	1	49992	2	31135	1
	80	70314	1	49992	5	31136	5
	85	70314	1	49992	5	70319	1
	90	70314	1	49992	5	70319	1
	95	70314	1	49992	5	70319	1
	100	70314	1	49992	5	71052	1
	105	70314	1	49993	3	31137	1
	110	70314	1	49993	5	31138	1
	115	70314	1	49993	10	30618	1
}

Group exp_table
{
	0	10
	1	20
	2	30
	3	40
	4	50
	5	60
	6	70
	7	80
	8	90
	9	110
	10	130
	11	150
	12	170
	13	200
	14	230
	15	260
	16	300
	17	340
	18	390
	19	440
	20	500
	21	560
	22	630
	23	710
	24	800
	25	900
	26	1010
	27	1140
	28	1280
	29	1440
	30	1620
	31	1820
	32	2040
	33	2290
	34	2570
	35	2880
	36	3230
	37	3620
	38	4060
	39	4550
	40	5100
	41	5720
	42	6410
	43	7180
	44	8050
	45	9020
	46	10110
	47	11330
	48	12690
	49	14220
	50	15930
	51	17850
	52	20000
	53	22400
	54	25090
	55	28110
	56	31490
	57	35270
	58	39510
	59	44260
	60	49580
	61	55530
	62	62200
	63	69670
	64	78040
	65	87410
	66	97900
	67	109650
	68	122810
	69	137550
	70	154060
	71	172550
	72	193260
	73	216460
	74	242440
	75	271540
	76	304130
	77	340630
	78	381510
	79	427300
	80	478580
	81	536010
	82	600340
	83	672390
	84	753080
	85	843450
	86	944670
	87	1058040
	88	1185010
	89	1327220
	90	1486490
	91	1664870
	92	1864660
	93	2088420
	94	2339040
	95	2619730
	96	2934100
	97	3286200
	98	3680550
	99	4122220
	100	4616890
	101	5170920
	102	5791440
	103	6486420
	104	7264800
	105	8136580
	106	9112970
	107	10206530
	108	11431320
	109	12803080
	110	14339450
	111	16060190
	112	17987420
	113	20145920
	114	22563440
	115	25271060
	116	28303590
	117	31700030
	118	35504040
	119	39764530
	120	44536280
	121	49880640
	122	55866320
	123	62570280
	124	70078720
	125	78488170
	126	87906760
	127	98455580
	128	110270250
	129	123502680
	130	138323010
}
