#index	x	y	npc_vnum	enable_helper	icon
0	7200	11400	10075	1	1
1	14500	31500	10701	0	0
2	8000	30800	10702	0	0
3	20600	10900	10703	0	0
4	32000	23800	10704	0	0
5	42100	27200	10705	0	0
6	48700	27900	10706	0	0
7	7000	36800	10707	0	0
8	6500	43400	10708	0	0
9	6700	49800	10709	0	0
10	35000	36100	10710	0	0
11	21000	49500	10711	0	0
12	52600	35200	10712	0	0
13	52800	41500	10713	0	0
14	52300	48000	10714	0	0
15	10100	54700	10715	0	0
16	8200	74600	10716	0	0
17	54100	4000	10717	0	0
18	61500	4400	10718	0	0
19	55300	29100	10719	0	0
20	62600	29600	10720	0	0
21	27800	70500	10721	0	0
22	28000	56900	10722	0	0
23	47000	56000	10723	0	0
24	57900	39000	10724	0	0
25	59700	33100	10725	0	0
26	60100	56000	10726	0	0
