#index	x	y	npc_vnum	enable_helper	icon
0	94800	80400	10002	1	1
1	14500	82300	10020	1	1
2	100200	56500	10067	1	1
3	45000	60800	9001	1	2
4	47100	60800	9002	1	2
5	42200	60800	9003	1	3
6	43000	57400	9005	1	4
7	43500	58100	30308	1	5
8	50000	57500	9012	1	6
9	10600	14400	20009	1	6
10	42300	61800	20016	1	7
11	58200	56100	20015	1	9
12	41900	56300	20022	1	11
13	41500	63800	20017	1	11
14	54800	58800	20349	1	14
15	48700	66600	9006	1	19
16	51600	57900	20010	1	19
17	54100	62000	20020	1	19
18	54900	56200	20012	1	19
19	47500	68400	20014	1	19
20	56400	60300	20019	1	19
21	40800	58100	20021	1	19
22	58300	58500	20024	1	19
23	45800	63100	11000	1	19
24	47800	63300	11001	1	19
25	18000	60000	20042	1	19
26	48100	29800	20364	1	19
