#index	x	y	npc_vnum	enable_helper	icon
0	60000	56000	20840	1	1
1	32000	23800	10961	0	0
2	35000	36100	10962	0	0
3	21000	49500	10963	0	0
4	42100	27200	10964	0	0
5	48700	27900	10965	0	0
6	7200	11900	10966	0	0
7	8000	30800	10967	0	0
8	14500	31500	10968	0	0
9	7000	36800	10969	0	0
10	6500	43400	10970	0	0
11	6700	49800	10971	0	0
12	52600	35200	10972	0	0
13	52800	41500	10973	0	0
14	52300	48000	10974	0	0
15	10100	54700	10975	0	0
16	8200	74600	10976	0	0
17	28000	56900	10977	0	0
18	47000	56000	10978	0	0
19	27800	70500	10979	0	0
20	54100	4000	10980	0	0
21	61500	4400	10981	0	0
22	55300	29100	10982	0	0
23	62600	29600	10983	0	0
24	59700	33100	10984	0	0
