#index	x	y	npc_vnum	enable_helper	icon
0	74200	87900	9009	0	0
1	20600	55200	9009	0	0
2	21800	67900	9009	0	0
3	22100	86500	9009	0	0
4	23100	97600	9009	0	0
5	23400	107700	9009	0	0
6	87600	112700	10003	1	1
7	67600	66200	9001	1	2
8	67600	61700	9002	1	2
9	59000	68900	9003	1	3
10	60900	59600	9005	1	4
11	61300	59300	30308	1	5
12	90300	9400	20009	1	6
13	51900	51200	9012	1	6
14	59400	69200	20016	1	7
15	67500	53900	9009	1	8
16	66000	73400	20001	1	10
17	67400	59000	20018	1	11
18	65800	68300	20421	1	11
19	70100	65400	20503	1	12
20	69200	65300	20504	1	12
21	68100	71700	60003	1	13
22	61800	56200	20095	1	13
23	54900	61000	20349	1	14
24	68800	74800	20470	1	15
25	65900	77200	20041	1	19
26	86400	82300	20086	1	19
27	85400	82700	20087	1	19
28	77200	68200	20355	1	19
29	55300	66300	20003	1	19
30	57100	55800	20354	1	19
31	25000	110400	20358	1	19
32	61400	116700	20357	1	19
33	89800	79700	20084	1	19
34	58800	63300	9006	1	19
35	58100	62000	20008	1	19
36	68400	58400	20023	1	19
37	55400	59700	20002	1	19
38	70200	68600	20005	1	19
39	71700	63300	20006	1	19
40	65500	55300	20011	1	19
41	62000	58000	20429	1	19
42	63300	64000	11002	1	19
43	62300	61700	11003	1	19
44	62300	59400	20320	1	18
45	62700	59400	20321	1	18
46	63100	59500	20322	1	18
47	63500	59500	20323	1	18
48	64500	59500	20324	1	18
49	64900	59500	20325	1	18
50	65300	59500	20326	1	18
51	65700	59500	20327	1	18
