#index	x	y	npc_vnum	enable_helper	icon
0	90100	15100	10006	1	1
1	91400	90700	10024	1	1
2	53500	4100	10071	1	1
3	46000	46700	9001	1	2
4	43500	46700	9002	1	2
5	48400	38700	9003	1	3
6	39400	39000	9005	1	4
7	39400	40000	30308	1	5
8	48000	35500	9012	1	6
9	14200	89300	20009	1	6
10	49100	39900	20016	1	7
11	51500	32200	20015	1	9
12	37000	47500	20022	1	11
13	38400	45400	20017	1	11
14	52700	37300	20349	1	14
15	43300	37600	9006	1	19
16	53700	42000	20010	1	19
17	45100	33000	20020	1	19
18	49300	33500	20012	1	19
19	41100	33300	20014	1	19
20	36600	38900	20019	1	19
21	40300	48200	20021	1	19
22	37200	36200	20024	1	19
23	44200	41200	11004	1	19
24	42000	41600	11005	1	19
25	16700	22400	20042	1	19
26	53500	89200	20364	1	19
