#index	x	y	npc_vnum	enable_helper	icon
0	60000	56000	20839	1	1
1	32000	23800	10931	0	0
2	35000	36100	10932	0	0
3	21000	49500	10933	0	0
4	42100	27200	10934	0	0
5	48700	27900	10935	0	0
6	7200	11900	10936	0	0
7	8000	30800	10937	0	0
8	14500	31500	10938	0	0
9	7000	36800	10939	0	0
10	6500	43400	10940	0	0
11	6700	49800	10941	0	0
12	52600	35200	10942	0	0
13	52800	41500	10943	0	0
14	52300	48000	10944	0	0
15	10100	54700	10945	0	0
16	8200	74600	10946	0	0
17	28000	56900	10947	0	0
18	47000	56000	10948	0	0
19	27800	70500	10949	0	0
20	54100	4000	10950	0	0
21	61500	4400	10951	0	0
22	55300	29100	10952	0	0
23	62600	29600	10953	0	0
24	59700	33100	10954	0	0
